X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_num,day_num,log_area,drought_index,high_risk,fire_size,season,drought_level,temp_band
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0,9,0,0.0,0.5249999999999999,0,Small,Autumn,Moderate,15-20°C
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,3,1,0.0,0.5642857142857143,0,Small,Spring,Moderate,15-20°C
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,3,1,0.0,0.5535714285714286,0,Small,Spring,Moderate,15-20°C
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,3,5,0.0,0.3741935483870968,0,Small,Spring,Moderate,10-15°C
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,3,5,0.0,0.5428571428571428,0,Small,Spring,Moderate,15-20°C
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,3,0,0.0,0.3419354838709677,0,Small,Spring,Moderate,10-15°C
3,4,aug,thu,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,8,3,0.0,0.5297297297297298,0,Small,Summer,Moderate,15-20°C
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,8,0,0.0,0.13733333333333334,0,Small,Summer,Safe,10-15°C
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0,8,0,0.0,0.38863636363636367,0,Small,Summer,Moderate,15-20°C
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,9,6,0.0,0.5232558139534884,0,Small,Autumn,Moderate,20-25°C
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,9,1,0.0,0.38913043478260867,0,Small,Autumn,Moderate,15-20°C
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,9,4,0.0,0.38823529411764707,0,Small,Autumn,Moderate,15-20°C
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,10,6,0.0,0.8240000000000001,0,Small,Autumn,High,20-25°C
3,5,mar,mon,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,3,0,0.0,0.18,0,Small,Spring,Safe,0-10°C
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,9,4,0.0,0.3909090909090909,0,Small,Autumn,Moderate,15-20°C
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,10,2,0.0,0.3382978723404255,0,Small,Autumn,Moderate,15-20°C
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,10,6,0.0,0.4277777777777778,0,Small,Autumn,Moderate,15-20°C
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,2,5,0.0,0.375609756097561,0,Small,Winter,Moderate,15-20°C
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,3,0,0.0,0.35,0,Small,Spring,Moderate,10-15°C
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,3,6,0.0,0.225531914893617,0,Small,Spring,Safe,10-15°C
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,9,3,0.0,0.4093023255813954,0,Small,Autumn,Moderate,15-20°C
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,3,1,0.0,0.3820512820512821,0,Small,Spring,Moderate,10-15°C
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,8,5,0.0,0.33207547169811324,0,Small,Summer,Moderate,15-20°C
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0,9,6,0.0,0.29152542372881357,0,Small,Autumn,Safe,15-20°C
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,9,0,0.0,0.23283582089552238,0,Small,Autumn,Safe,15-20°C
9,9,jul,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,7,1,0.3074846997479606,0.4186046511627907,0,Small,Summer,Moderate,15-20°C
1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,9,1,0.35767444427181594,0.5564102564102564,0,Small,Autumn,Moderate,20-25°C
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,9,0,0.3852624007906449,0.5475,0,Small,Autumn,Moderate,20-25°C
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,8,2,0.4382549309311553,0.728125,0,Small,Summer,High,20-25°C
8,6,aug,fri,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,8,4,0.4762341789963716,0.4076923076923077,0,Small,Summer,Moderate,20-25°C
1,2,jul,sat,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,7,5,0.5364933705145685,0.3074074074074074,0,Small,Summer,Moderate,15-20°C
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,8,2,0.5709795465857378,0.7212121212121212,0,Small,Summer,High,20-25°C
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,8,3,0.6418538861723948,1.191304347826087,1,Small,Summer,Dangerous,25+°C
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,3,0,0.6678293725756554,0.32195121951219513,0,Small,Spring,Moderate,10-15°C
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,9,1,0.6729444732424258,0.8344827586206897,0,Small,Autumn,High,20-25°C
2,2,aug,tue,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,8,1,0.7275486072772778,0.39545454545454545,0,Small,Summer,Moderate,15-20°C
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,9,3,0.7514160886839212,0.9115384615384615,0,Small,Autumn,High,20-25°C
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,6,4,0.7839015438284094,0.58,0,Small,Summer,Moderate,20-25°C
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,7,6,0.8586616190375187,0.8266666666666667,0,Small,Summer,High,20-25°C
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,7,5,0.8878912573524571,0.5590909090909091,0,Small,Summer,Moderate,20-25°C
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,9,4,0.9001613499442714,0.41875,0,Small,Autumn,Moderate,20-25°C
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,9,5,0.9001613499442714,1.0571428571428572,1,Small,Autumn,Dangerous,25+°C
7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,8,6,0.9400072584914712,0.3416666666666666,0,Small,Summer,Moderate,15-20°C
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,9,5,0.959350221334602,1.0214285714285716,1,Small,Autumn,Dangerous,25+°C
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,8,2,0.9669838461896731,0.39999999999999997,0,Small,Summer,Moderate,15-20°C
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,8,2,0.9707789171582248,0.5694444444444444,0,Small,Summer,Moderate,20-25°C
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,9,4,0.9895411936137477,0.5428571428571428,0,Small,Autumn,Moderate,15-20°C
7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,3,0,1.0116009116784799,0.5366666666666667,0,Small,Spring,Moderate,15-20°C
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,8,3,1.0647107369924282,0.48333333333333334,0,Small,Summer,Moderate,20-25°C
6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,3,5,1.0784095813505903,0.475,0,Small,Spring,Moderate,15-20°C
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,9,5,1.0818051703517284,0.312280701754386,0,Small,Autumn,Moderate,15-20°C
8,5,sep,sun,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,9,6,1.1019400787607843,0.26176470588235295,0,Small,Autumn,Safe,15-20°C
6,5,mar,thu,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,3,3,1.144222799920162,0.07464788732394366,0,Small,Spring,Safe,0-10°C
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,8,2,1.1908875647772805,0.3458333333333334,0,Small,Summer,Moderate,15-20°C
6,5,aug,wed,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,8,2,1.2556160374777743,0.6882352941176471,0,Small,Summer,High,20-25°C
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,3,4,1.2612978709452054,0.5407407407407407,0,Small,Spring,Moderate,10-15°C
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,8,3,1.2669476034873244,0.45,0,Small,Summer,Moderate,20-25°C
5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,9,2,1.2725655957915476,0.6083333333333333,0,Small,Autumn,High,20-25°C
8,6,aug,wed,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,8,2,1.3056264580524357,0.34117647058823525,0,Small,Summer,Moderate,15-20°C
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,8,6,1.3190856114264407,0.5025000000000001,0,Small,Summer,Moderate,20-25°C
